index,token_id,hex,r,g,b,agent_id,group,domain,persona,perspective,color_name,anchor,ansi_fg,ansi_bg,xterm_256_index,token_png_1024,agent_png_1024
14,DSW64-14,#894ABE,137,74,190,outlook_communicator,platform_foundation,Outlook / Exchange,Comms Strategist,"Email flow, calendaring, inbox intelligence, stakeholder comms",Cobalt Blue → Magenta 4/9,,\u001b[38;2;137;74;190m,\u001b[48;2;137;74;190m,94,tokens/png_1024_transparent/14_outlook_communicator_894ABE_1024_transparent.png,agents/png_1024_dark/14_outlook_communicator_894ABE_1024_dark.png
15,DSW64-15,#A147C2,161,71,194,sharepoint_knowledge,platform_foundation,SharePoint,Knowledge Architect,"Intranets, content services, metadata, search, knowledge hubs",Cobalt Blue → Magenta 5/9,,\u001b[38;2;161;71;194m,\u001b[48;2;161;71;194m,154,tokens/png_1024_transparent/15_sharepoint_knowledge_A147C2_1024_transparent.png,agents/png_1024_dark/15_sharepoint_knowledge_A147C2_1024_dark.png
16,DSW64-16,#B942C7,185,66,199,onedrive_sync,platform_foundation,OneDrive,File Sync Expert,"File lifecycle, personal storage, sync reliability, collaboration",Cobalt Blue → Magenta 6/9,,\u001b[38;2;185;66;199m,\u001b[48;2;185;66;199m,10,tokens/png_1024_transparent/16_onedrive_sync_B942C7_1024_transparent.png,agents/png_1024_dark/16_onedrive_sync_B942C7_1024_dark.png
17,DSW64-17,#D039CB,208,57,203,edge_browser,platform_foundation,Edge,Browser Specialist,"Web productivity, secure browsing, enterprise browser controls",Cobalt Blue → Magenta 7/9,,\u001b[38;2;208;57;203m,\u001b[48;2;208;57;203m,10,tokens/png_1024_transparent/17_edge_browser_D039CB_1024_transparent.png,agents/png_1024_dark/17_edge_browser_D039CB_1024_dark.png
18,DSW64-18,#E72AD0,231,42,208,windows_os,platform_foundation,Windows,Endpoint Platform Expert,"OS experience, enterprise endpoints, shell, device UX",Cobalt Blue → Magenta 8/9,,\u001b[38;2;231;42;208m,\u001b[48;2;231;42;208m,10,tokens/png_1024_transparent/18_windows_os_E72AD0_1024_transparent.png,agents/png_1024_dark/18_windows_os_E72AD0_1024_dark.png
19,DSW64-19,#FF00D4,255,0,212,dataverse_modeler,platform_foundation,Dataverse,Data Modeler,"Tables, relationships, ALM, security roles, business data",Magenta,magenta,\u001b[38;2;255;0;212m,\u001b[48;2;255;0;212m,234,tokens/png_1024_transparent/19_dataverse_modeler_FF00D4_1024_transparent.png,agents/png_1024_dark/19_dataverse_modeler_FF00D4_1024_dark.png
20,DSW64-20,#FE24C4,254,36,196,fabric_data_engineer,cloud_ai_data_dev,Microsoft Fabric,Data Engineer,"Lakehouses, pipelines, warehousing, analytics fabric",Magenta → Competition Orange 1/9,,\u001b[38;2;254;36;196m,\u001b[48;2;254;36;196m,10,tokens/png_1024_transparent/20_fabric_data_engineer_FE24C4_1024_transparent.png,agents/png_1024_dark/20_fabric_data_engineer_FE24C4_1024_dark.png
21,DSW64-21,#FE34B4,254,52,180,azure_ai_foundry,cloud_ai_data_dev,Azure AI Foundry,AI Foundry Engineer,"Models, evaluations, prompt flows, agentic AI lifecycle",Magenta → Competition Orange 2/9,,\u001b[38;2;254;52;180m,\u001b[48;2;254;52;180m,255,tokens/png_1024_transparent/21_azure_ai_foundry_FE34B4_1024_transparent.png,agents/png_1024_dark/21_azure_ai_foundry_FE34B4_1024_dark.png
22,DSW64-22,#FE3EA3,254,62,163,apim_integration,cloud_ai_data_dev,Azure API Management,Integration Expert,"APIs, policies, gateways, developer portals, governance",Magenta → Competition Orange 3/9,,\u001b[38;2;254;62;163m,\u001b[48;2;254;62;163m,49,tokens/png_1024_transparent/22_apim_integration_FE3EA3_1024_transparent.png,agents/png_1024_dark/22_apim_integration_FE3EA3_1024_dark.png
23,DSW64-23,#FE4692,254,70,146,designer_creator,power_platform_and_apps,Designer,Visual Creator,"Concept art, brand assets, creative production workflows",Magenta → Competition Orange 4/9,,\u001b[38;2;254;70;146m,\u001b[48;2;254;70;146m,48,tokens/png_1024_transparent/23_designer_creator_FE4692_1024_transparent.png,agents/png_1024_dark/23_designer_creator_FE4692_1024_dark.png
24,DSW64-24,#FE4C80,254,76,128,github_engineer,cloud_ai_data_dev,GitHub,Software Engineer,"Repos, pull requests, Actions, Copilot coding workflows",Magenta → Competition Orange 5/9,,\u001b[38;2;254;76;128m,\u001b[48;2;254;76;128m,238,tokens/png_1024_transparent/24_github_engineer_FE4C80_1024_transparent.png,agents/png_1024_dark/24_github_engineer_FE4C80_1024_dark.png
25,DSW64-25,#FE516D,254,81,109,vscode_developer,cloud_ai_data_dev,Visual Studio Code,Developer Tools Expert,"Extensions, debugging, local dev, AI-assisted coding",Magenta → Competition Orange 6/9,,\u001b[38;2;254;81;109m,\u001b[48;2;254;81;109m,238,tokens/png_1024_transparent/25_vscode_developer_FE516D_1024_transparent.png,agents/png_1024_dark/25_vscode_developer_FE516D_1024_dark.png
26,DSW64-26,#FE5557,254,85,87,devops_release,cloud_ai_data_dev,Azure DevOps,Release Engineer,"Backlogs, pipelines, releases, environments, delivery governance",Magenta → Competition Orange 7/9,,\u001b[38;2;254;85;87m,\u001b[48;2;254;85;87m,238,tokens/png_1024_transparent/26_devops_release_FE5557_1024_transparent.png,agents/png_1024_dark/26_devops_release_FE5557_1024_dark.png
27,DSW64-27,#FF583C,255,88,60,aks_platform,cloud_ai_data_dev,Azure Kubernetes Service,Platform Engineer,"Clusters, ingress, scaling, service mesh, workload operations",Magenta → Competition Orange 8/9,,\u001b[38;2;255;88;60m,\u001b[48;2;255;88;60m,238,tokens/png_1024_transparent/27_aks_platform_FF583C_1024_transparent.png,agents/png_1024_dark/27_aks_platform_FF583C_1024_dark.png
28,DSW64-28,#FF5A00,255,90,0,functions_serverless,cloud_ai_data_dev,Azure Functions,Serverless Builder,"Event handlers, triggers, bindings, lightweight integration",Competition Orange,competition_orange,\u001b[38;2;255;90;0m,\u001b[48;2;255;90;0m,238,tokens/png_1024_transparent/28_functions_serverless_FF5A00_1024_transparent.png,agents/png_1024_dark/28_functions_serverless_FF5A00_1024_dark.png
29,DSW64-29,#F85402,248,84,2,cosmosdb_global,cloud_ai_data_dev,Azure Cosmos DB,Global Data Expert,"Distributed data, partitioning, consistency, global scale",Competition Orange → Lava 1/9,,\u001b[38;2;248;84;2m,\u001b[48;2;248;84;2m,237,tokens/png_1024_transparent/29_cosmosdb_global_F85402_1024_transparent.png,agents/png_1024_dark/29_cosmosdb_global_F85402_1024_dark.png
30,DSW64-30,#F24E04,242,78,4,sql_database,cloud_ai_data_dev,Azure SQL / SQL Server,Database Expert,"Relational modeling, query performance, data integrity",Competition Orange → Lava 2/9,,\u001b[38;2;242;78;4m,\u001b[48;2;242;78;4m,237,tokens/png_1024_transparent/30_sql_database_F24E04_1024_transparent.png,agents/png_1024_dark/30_sql_database_F24E04_1024_dark.png
31,DSW64-31,#EC4705,236,71,5,graph_connector,platform_foundation,Microsoft Graph,Connector Expert,"Unified API, identity, mail, calendar, files, Teams integration",Competition Orange → Lava 3/9,,\u001b[38;2;236;71;5m,\u001b[48;2;236;71;5m,50,tokens/png_1024_transparent/31_graph_connector_EC4705_1024_transparent.png,agents/png_1024_dark/31_graph_connector_EC4705_1024_dark.png
32,DSW64-32,#E54107,229,65,7,defender_security,security_governance_trust,Microsoft Defender,Threat Protection Expert,"Security posture, endpoint protection, threat investigation",Competition Orange → Lava 4/9,,\u001b[38;2;229;65;7m,\u001b[48;2;229;65;7m,50,tokens/png_1024_transparent/32_defender_security_E54107_1024_transparent.png,agents/png_1024_dark/32_defender_security_E54107_1024_dark.png
33,DSW64-33,#DF3A08,223,58,8,sentinel_soc,security_governance_trust,Microsoft Sentinel,SOC Analyst,"SIEM, SOAR, detections, incidents, hunting",Competition Orange → Lava 5/9,,\u001b[38;2;223;58;8m,\u001b[48;2;223;58;8m,50,tokens/png_1024_transparent/33_sentinel_soc_DF3A08_1024_transparent.png,agents/png_1024_dark/33_sentinel_soc_DF3A08_1024_dark.png
34,DSW64-34,#D83309,216,51,9,purview_governance,security_governance_trust,Microsoft Purview,Governance Officer,"Data governance, compliance, classification, risk controls",Competition Orange → Lava 6/9,,\u001b[38;2;216;51;9m,\u001b[48;2;216;51;9m,50,tokens/png_1024_transparent/34_purview_governance_D83309_1024_transparent.png,agents/png_1024_dark/34_purview_governance_D83309_1024_dark.png
35,DSW64-35,#D22C0A,210,44,10,intune_endpoint,security_governance_trust,Microsoft Intune,Endpoint Manager,"Device compliance, app protection, endpoint fleet management",Competition Orange → Lava 7/9,,\u001b[38;2;210;44;10m,\u001b[48;2;210;44;10m,50,tokens/png_1024_transparent/35_intune_endpoint_D22C0A_1024_transparent.png,agents/png_1024_dark/35_intune_endpoint_D22C0A_1024_dark.png
36,DSW64-36,#CB230A,203,35,10,viva_employee_experience,business_industry_experts,Microsoft Viva,Employee Experience Expert,"Engagement, learning, insights, internal comms",Competition Orange → Lava 8/9,,\u001b[38;2;203;35;10m,\u001b[48;2;203;35;10m,50,tokens/png_1024_transparent/36_viva_employee_experience_CB230A_1024_transparent.png,agents/png_1024_dark/36_viva_employee_experience_CB230A_1024_dark.png
37,DSW64-37,#C51A0B,197,26,11,loop_workflows,power_platform_and_apps,Microsoft Loop,Fluid Collaboration Expert,"Components, collaborative planning, shared workspaces",Lava,lava,\u001b[38;2;197;26;11m,\u001b[48;2;197;26;11m,44,tokens/png_1024_transparent/37_loop_workflows_C51A0B_1024_transparent.png,agents/png_1024_dark/37_loop_workflows_C51A0B_1024_dark.png
38,DSW64-38,#CE3C10,206,60,16,planner_coordination,power_platform_and_apps,Planner / To Do,Work Coordinator,"Task boards, priorities, ownership, execution cadence",Lava → Banana Yellow 1/9,,\u001b[38;2;206;60;16m,\u001b[48;2;206;60;16m,50,tokens/png_1024_transparent/38_planner_coordination_CE3C10_1024_transparent.png,agents/png_1024_dark/38_planner_coordination_CE3C10_1024_dark.png
39,DSW64-39,#D65514,214,85,20,dynamics_customer,platform_foundation,Dynamics 365,Customer Systems Expert,"CRM, ERP, customer journeys, operational processes",Lava → Banana Yellow 2/9,,\u001b[38;2;214;85;20m,\u001b[48;2;214;85;20m,26,tokens/png_1024_transparent/39_dynamics_customer_D65514_1024_transparent.png,agents/png_1024_dark/39_dynamics_customer_D65514_1024_dark.png
40,DSW64-40,#DE6B19,222,107,25,finance_ops,business_industry_experts,Finance Operations,Finance Strategist,"Forecasting, controls, billing, reporting, investment decisions",Lava → Banana Yellow 3/9,,\u001b[38;2;222;107;25m,\u001b[48;2;222;107;25m,26,tokens/png_1024_transparent/40_finance_ops_DE6B19_1024_transparent.png,agents/png_1024_dark/40_finance_ops_DE6B19_1024_dark.png
41,DSW64-41,#E57F1D,229,127,29,healthcare_clinical,business_industry_experts,Healthcare,Clinical AI Advisor,"Care workflows, clinical documentation, patient safety",Lava → Banana Yellow 4/9,,\u001b[38;2;229;127;29m,\u001b[48;2;229;127;29m,32,tokens/png_1024_transparent/41_healthcare_clinical_E57F1D_1024_transparent.png,agents/png_1024_dark/41_healthcare_clinical_E57F1D_1024_dark.png
42,DSW64-42,#EB9322,235,147,34,retail_personalization,business_industry_experts,Retail,Personalization Expert,"Customer segmentation, offers, recommendations, operations",Lava → Banana Yellow 5/9,,\u001b[38;2;235;147;34m,\u001b[48;2;235;147;34m,33,tokens/png_1024_transparent/42_retail_personalization_EB9322_1024_transparent.png,agents/png_1024_dark/42_retail_personalization_EB9322_1024_dark.png
43,DSW64-43,#F1A727,241,167,39,manufacturing_iot,business_industry_experts,Manufacturing / IoT,Industrial IoT Expert,"Telemetry, digital twins, factories, predictive maintenance",Lava → Banana Yellow 6/9,,\u001b[38;2;241;167;39m,\u001b[48;2;241;167;39m,39,tokens/png_1024_transparent/43_manufacturing_iot_F1A727_1024_transparent.png,agents/png_1024_dark/43_manufacturing_iot_F1A727_1024_dark.png
44,DSW64-44,#F6BA2B,246,186,43,sustainability_greenops,business_industry_experts,Sustainability,GreenOps Advisor,"Carbon, efficiency, power, circular systems, environmental impact",Lava → Banana Yellow 7/9,,\u001b[38;2;246;186;43m,\u001b[48;2;246;186;43m,12,tokens/png_1024_transparent/44_sustainability_greenops_F6BA2B_1024_transparent.png,agents/png_1024_dark/44_sustainability_greenops_F6BA2B_1024_dark.png
45,DSW64-45,#FBCE30,251,206,48,privacy_trust,security_governance_trust,Privacy / Trust,Trust Architect,"Privacy engineering, safety, responsible AI, trust boundaries",Lava → Banana Yellow 8/9,,\u001b[38;2;251;206;48m,\u001b[48;2;251;206;48m,12,tokens/png_1024_transparent/45_privacy_trust_FBCE30_1024_transparent.png,agents/png_1024_dark/45_privacy_trust_FBCE30_1024_dark.png
46,DSW64-46,#FFE135,255,225,53,research_scientist,frontier_swarm_personas,Research,Research Scientist,"Hypotheses, experiments, papers, evaluation methodology",Banana Yellow,banana_yellow,\u001b[38;2;255;225;53m,\u001b[48;2;255;225;53m,235,tokens/png_1024_transparent/46_research_scientist_FFE135_1024_transparent.png,agents/png_1024_dark/46_research_scientist_FFE135_1024_dark.png
47,DSW64-47,#FFD030,255,208,48,principal_architect,frontier_swarm_personas,Architecture,Principal Architect,"System design, trade-offs, roadmaps, executive-ready options",Banana Yellow → Candyapple Red 1/9,,\u001b[38;2;255;208;48m,\u001b[48;2;255;208;48m,12,tokens/png_1024_transparent/47_principal_architect_FFD030_1024_transparent.png,agents/png_1024_dark/47_principal_architect_FFD030_1024_dark.png
48,DSW64-48,#FFBE2B,255,190,43,executive_briefing,business_industry_experts,Executive Strategy,Executive Briefer,"Concise strategy, value framing, decision memos, stakeholder alignment",Banana Yellow → Candyapple Red 2/9,,\u001b[38;2;255;190;43m,\u001b[48;2;255;190;43m,12,tokens/png_1024_transparent/48_executive_briefing_FFBE2B_1024_transparent.png,agents/png_1024_dark/48_executive_briefing_FFBE2B_1024_dark.png
49,DSW64-49,#FFAC25,255,172,37,agent_swarm_orchestrator,frontier_swarm_personas,Agent Swarm,Swarm Orchestrator,"Multi-agent planning, handoffs, consensus, control planes",Banana Yellow → Candyapple Red 3/9,,\u001b[38;2;255;172;37m,\u001b[48;2;255;172;37m,254,tokens/png_1024_transparent/49_agent_swarm_orchestrator_FFAC25_1024_transparent.png,agents/png_1024_dark/49_agent_swarm_orchestrator_FFAC25_1024_dark.png
50,DSW64-50,#FF9A20,255,154,32,red_team_adversary,security_governance_trust,Red Team,Adversarial Tester,"Threat modeling, jailbreaks, abuse testing, control validation",Banana Yellow → Candyapple Red 4/9,,\u001b[38;2;255;154;32m,\u001b[48;2;255;154;32m,32,tokens/png_1024_transparent/50_red_team_adversary_FF9A20_1024_transparent.png,agents/png_1024_dark/50_red_team_adversary_FF9A20_1024_dark.png
51,DSW64-51,#FF871A,255,135,26,compliance_auditor,security_governance_trust,Compliance,Compliance Auditor,"Policy mapping, evidence, controls, audit readiness",Banana Yellow → Candyapple Red 5/9,,\u001b[38;2;255;135;26m,\u001b[48;2;255;135;26m,32,tokens/png_1024_transparent/51_compliance_auditor_FF871A_1024_transparent.png,agents/png_1024_dark/51_compliance_auditor_FF871A_1024_dark.png
52,DSW64-52,#FF7214,255,114,20,education_learning,business_industry_experts,Education,Learning Designer,"Curriculum, tutoring, assessment, learner support",Banana Yellow → Candyapple Red 6/9,,\u001b[38;2;255;114;20m,\u001b[48;2;255;114;20m,26,tokens/png_1024_transparent/52_education_learning_FF7214_1024_transparent.png,agents/png_1024_dark/52_education_learning_FF7214_1024_dark.png
53,DSW64-53,#FF5B0E,255,91,14,legal_contracts,business_industry_experts,Legal,Contracts Expert,"Clause analysis, negotiation, legal operations, risk review",Banana Yellow → Candyapple Red 7/9,,\u001b[38;2;255;91;14m,\u001b[48;2;255;91;14m,238,tokens/png_1024_transparent/53_legal_contracts_FF5B0E_1024_transparent.png,agents/png_1024_dark/53_legal_contracts_FF5B0E_1024_dark.png
54,DSW64-54,#FF3F06,255,63,6,marketing_growth,business_industry_experts,Marketing,Growth Strategist,"Campaigns, positioning, audience, messaging, measurement",Banana Yellow → Candyapple Red 8/9,,\u001b[38;2;255;63;6m,\u001b[48;2;255;63;6m,50,tokens/png_1024_transparent/54_marketing_growth_FF3F06_1024_transparent.png,agents/png_1024_dark/54_marketing_growth_FF3F06_1024_dark.png
55,DSW64-55,#FF0800,255,8,0,sales_enablement,business_industry_experts,Sales,Sales Enablement Expert,"Account planning, objections, demos, value narratives",Candyapple Red,candyapple_red,\u001b[38;2;255;8;0m,\u001b[48;2;255;8;0m,7,tokens/png_1024_transparent/55_sales_enablement_FF0800_1024_transparent.png,agents/png_1024_dark/55_sales_enablement_FF0800_1024_dark.png
56,DSW64-56,#FF4535,255,69,53,support_triage,business_industry_experts,Support,Triage Specialist,"Case routing, symptoms, knowledge retrieval, resolution paths",Candyapple Red → Frost White 1/9,,\u001b[38;2;255;69;53m,\u001b[48;2;255;69;53m,14,tokens/png_1024_transparent/56_support_triage_FF4535_1024_transparent.png,agents/png_1024_dark/56_support_triage_FF4535_1024_dark.png
57,DSW64-57,#FF6553,255,101,83,observability_sre,cloud_ai_data_dev,Observability / SRE,Reliability Engineer,"Telemetry, incidents, SLOs, RCA, production operations",Candyapple Red → Frost White 2/9,,\u001b[38;2;255;101;83m,\u001b[48;2;255;101;83m,238,tokens/png_1024_transparent/57_observability_sre_FF6553_1024_transparent.png,agents/png_1024_dark/57_observability_sre_FF6553_1024_dark.png
58,DSW64-58,#FF7E6D,255,126,109,storage_scale,frontier_swarm_personas,Storage at Scale,Storage Architect,"Capacity, throughput, durability, cost, power-aware infrastructure",Candyapple Red → Frost White 3/9,,\u001b[38;2;255;126;109m,\u001b[48;2;255;126;109m,238,tokens/png_1024_transparent/58_storage_scale_FF7E6D_1024_transparent.png,agents/png_1024_dark/58_storage_scale_FF7E6D_1024_dark.png
59,DSW64-59,#FF9586,255,149,134,network_edge,cloud_ai_data_dev,Networking / Edge,Network Architect,"Traffic flow, gateways, latency, peering, edge topology",Candyapple Red → Frost White 4/9,,\u001b[38;2;255;149;134m,\u001b[48;2;255;149;134m,238,tokens/png_1024_transparent/59_network_edge_FF9586_1024_transparent.png,agents/png_1024_dark/59_network_edge_FF9586_1024_dark.png
60,DSW64-60,#FFAB9E,255,171,158,robotics_embodied,frontier_swarm_personas,Robotics,Embodied Systems Expert,"Sensors, autonomy, production systems, human-robot workflows",Candyapple Red → Frost White 5/9,,\u001b[38;2;255;171;158m,\u001b[48;2;255;171;158m,238,tokens/png_1024_transparent/60_robotics_embodied_FFAB9E_1024_transparent.png,agents/png_1024_dark/60_robotics_embodied_FFAB9E_1024_dark.png
61,DSW64-61,#FFBFB6,255,191,182,quantum_experiment,frontier_swarm_personas,Quantum / Advanced Research,Quantum Experimenter,"Novel algorithms, experimental design, uncertainty, frontier systems",Candyapple Red → Frost White 6/9,,\u001b[38;2;255;191;182m,\u001b[48;2;255;191;182m,0,tokens/png_1024_transparent/61_quantum_experiment_FFBFB6_1024_transparent.png,agents/png_1024_dark/61_quantum_experiment_FFBFB6_1024_dark.png
62,DSW64-62,#FFD4CE,255,212,206,blockchain_decentralized,frontier_swarm_personas,Decentralized Systems,Crypto / Web3 Architect,"Consensus, storage proofs, decentralized identity, resilient networks",Candyapple Red → Frost White 7/9,,\u001b[38;2;255;212;206m,\u001b[48;2;255;212;206m,233,tokens/png_1024_transparent/62_blockchain_decentralized_FFD4CE_1024_transparent.png,agents/png_1024_dark/62_blockchain_decentralized_FFD4CE_1024_dark.png
63,DSW64-63,#FBE7E7,251,231,231,prompt_engineer,frontier_swarm_personas,Prompt Engineering,Prompt Systems Expert,"Instructions, evals, tool behavior, prompt architecture",Candyapple Red → Frost White 8/9,,\u001b[38;2;251;231;231m,\u001b[48;2;251;231;231m,236,tokens/png_1024_transparent/63_prompt_engineer_FBE7E7_1024_transparent.png,agents/png_1024_dark/63_prompt_engineer_FBE7E7_1024_dark.png
64,DSW64-64,#F4FBFF,244,251,255,graphite_reviewer,security_governance_trust,Neutral Review,Sober Second-Opinion Reviewer,"Clarity, critique, risk surfacing, quality gates",Frost White,frost_white,\u001b[38;2;244;251;255m,\u001b[48;2;244;251;255m,237,tokens/png_1024_transparent/64_graphite_reviewer_F4FBFF_1024_transparent.png,agents/png_1024_dark/64_graphite_reviewer_F4FBFF_1024_dark.png
