swarm_index,identity_code,agent_id,display_name,domain,role,perspective,group,palette_token,fallback_hex,material_kind,material_strength
104,DSW-MO-104,agent-network,Mint Packet,Network architecture,Traffic and topology,"Inspect topology, traffic paths and connectivity assumptions.",platform,DSW-MO-P25,#FE516D,solid,0
105,DSW-MO-105,agent-storage,Mint Archive,Storage engineering,Durability and capacity,"Plan storage layouts, durability, capacity and data lifecycle.",platform,DSW-MO-P26,#FE5557,solid,0
106,DSW-MO-106,agent-inference,Mint Core,Inference systems,Serving optimization,"Compare serving configurations, latency budgets and throughput.",learning,DSW-MO-P27,#FF583C,solid,0
107,DSW-MO-107,agent-quantization,Mint Bit,Quantization,Efficient representations,"Evaluate numerical precision, compression and quality tradeoffs.",learning,DSW-MO-P28,#FF5A00,solid,0
108,DSW-MO-108,agent-training,Mint Learn,Model training,Training pipelines,"Track data preparation, training configuration and evaluation artifacts.",learning,DSW-MO-P29,#F85402,solid,0
109,DSW-MO-109,agent-reinforcement,Mint Reward,Reinforcement learning,Reward and policy design,"Define rewards, environments and repeatable policy evaluation.",learning,DSW-MO-P30,#F24E04,solid,0
110,DSW-MO-110,agent-vision,Mint Lens,Computer vision,Visual understanding,Interpret visual evidence with spatial alignment and confidence.,perception,DSW-MO-P31,#EC4705,solid,0
111,DSW-MO-111,agent-ocr,Mint Read,Document recognition,Text and layout,"Bind recognized text to layout, coordinates and reading order.",perception,DSW-MO-P32,#E54107,solid,0
112,DSW-MO-112,agent-speech,Mint Voice,Speech systems,Audio interaction,"Coordinate transcription, speech output and time-aligned audio evidence.",perception,DSW-MO-P33,#DF3A08,solid,0
113,DSW-MO-113,agent-robotics,Mint Motion,Robotics,Embodied action,"Model sensing, motion constraints and testable action plans.",physical,DSW-MO-P34,#D83309,solid,0
114,DSW-MO-114,agent-simulation,Mint Twin,Simulation,Virtual validation,Build reproducible scenarios and compare simulated outcomes.,physical,DSW-MO-P35,#D22C0A,solid,0
115,DSW-MO-115,agent-geospatial,Mint Terrain,Geospatial systems,Spatial reasoning,"Handle coordinate systems, spatial queries and map-linked evidence.",physical,DSW-MO-P36,#CB230A,solid,0
116,DSW-MO-116,agent-api-design,Mint Interface,API architecture,Interface design,"Define API resources, error contracts and version boundaries.",engineering,DSW-MO-P37,#C51A0B,solid,0
117,DSW-MO-117,agent-data-quality,Mint Clean,Data quality,Validation and repair,"Check completeness, consistency, duplication and repair provenance.",data,DSW-MO-P38,#C33F2B,opal-splatter,0.11111111
118,DSW-MO-118,agent-etl,Mint Channel,Data pipelines,Data transformation,Map source-to-target transformations and trace pipeline lineage.,data,DSW-MO-P39,#C05841,opal-splatter,0.22222222
119,DSW-MO-119,agent-event-streams,Mint Pulse,Event streaming,Event contracts,"Define event schemas, ordering, idempotency and replay behavior.",data,DSW-MO-P40,#BB6C54,opal-splatter,0.33333333
120,DSW-MO-120,agent-ui-design,Mint Canvas,Interface design,Visual systems,Translate interaction requirements into coherent layouts and design tokens.,creation,DSW-MO-P41,#B57E67,opal-splatter,0.44444444
121,DSW-MO-121,agent-accessibility,Mint Access,Accessibility,Inclusive interaction,"Review keyboard behavior, readable contrast and accessible semantics.",creation,DSW-MO-P42,#AD8F79,opal-splatter,0.55555556
122,DSW-MO-122,agent-documentation,Mint Scribe,Technical writing,Knowledge communication,"Produce accurate, structured documentation and explicit examples.",creation,DSW-MO-P43,#A2A08B,opal-splatter,0.66666667
123,DSW-MO-123,agent-research,Mint Inquiry,Research methods,Evidence synthesis,"Frame questions, compare evidence and track uncertainty.",creation,DSW-MO-P44,#95B09D,opal-splatter,0.77777778
124,DSW-MO-124,agent-privacy,Mint Veil,Privacy engineering,Data minimization,"Scope collection, retention and disclosure of sensitive data.",trust,DSW-MO-P45,#83C0B0,opal-splatter,0.88888889
125,DSW-MO-125,agent-threat-modeling,Mint Shield,Threat modeling,Security analysis,"Map trust boundaries, plausible abuse paths and mitigations.",trust,DSW-MO-P46,#69CFC2,opal-splatter,1.0
126,DSW-MO-126,agent-formal-verification,Mint Proof,Formal methods,Invariant checking,Define invariants and analyze properties against explicit assumptions.,assurance,DSW-MO-P47,#67D2C2,opal-splatter,0.88888889
127,DSW-MO-127,agent-sustainability,Mint Balance,Resource efficiency,Sustainable operations,"Measure energy, utilization and resource tradeoffs against workloads.",physical,DSW-MO-P48,#65D4C2,opal-splatter,0.77777778
128,DSW-MO-128,agent-swarm-coordination,Mint Taproot,Swarm coordination,Bounded orchestration,"Coordinate perspectives, budgets, dependencies and reviewable outcomes.",orchestration,DSW-MO-P49,#62D7C2,opal-splatter,0.66666667
